event,date,url
UFC 247: Jones vs. Reyes,2/8/2020,https://www.bestfightodds.com/events/ufc-247-jones-vs-reyes-1837
UFC Fight Night: Anderson vs. Blachowicz,2/15/2020,https://www.bestfightodds.com/events/ufc-on-espn-25-anderson-vs-blachowicz-2-1848
UFC Fight Night: Felder vs. Hooker,2/22/2020,https://www.bestfightodds.com/events/ufc-on-espn-26-felder-vs-hooker-1846
UFC Fight Night: Benavidez vs. Figueiredo,2/29/2020,https://www.bestfightodds.com/events/ufc-on-espn-27-benavidez-vs-figueiredo-1862
UFC 248: Adesanya vs. Romero,3/7/2020,https://www.bestfightodds.com/events/ufc-248-adesanya-vs-romero-1849
UFC Fight Night: Lee vs. Oliveira,3/14/2020,https://www.bestfightodds.com/events/ufc-on-espn-28-lee-vs-oliveira-1847
UFC 249: Ferguson vs. Gaethje,5/9/2020,https://www.bestfightodds.com/events/ufc-249-ferguson-vs-gaethje-1875
UFC Fight Night: Smith vs. Teixeira,5/13/2020,https://www.bestfightodds.com/events/ufc-on-espn-29-smith-vs-teixeira-1876
UFC Fight Night: Overeem vs. Harris,5/16/2020,https://www.bestfightodds.com/events/ufc-on-espn-8-overeem-vs-harris-1908
UFC Fight Night: Woodley vs. Burns,5/30/2020,https://www.bestfightodds.com/events/ufc-on-espn-9-woodley-vs-burns-1910
UFC 250: Nunes vs. Spencer,6/6/2020,https://www.bestfightodds.com/events/ufc-250-nunes-vs-spencer-1909
UFC Fight Night: Eye vs. Calvillo,6/13/2020,https://www.bestfightodds.com/events/ufc-on-espn-10-eye-vs-calvillo-1898
UFC Fight Night: Blaydes vs. Volkov,6/20/2020,https://www.bestfightodds.com/events/ufc-on-espn-11-blaydes-vs-volkov-1897
UFC Fight Night: Poirier vs. Hooker,6/27/2020,https://www.bestfightodds.com/events/ufc-on-espn-12-poirier-vs-hooker-1895
UFC 251: Usman vs. Masvidal,7/11/2020,https://www.bestfightodds.com/events/ufc-251-usman-vs-masvidal-1890
UFC Fight Night: Kattar vs. Ige,7/15/2020,https://www.bestfightodds.com/events/ufc-on-espn-13-kattar-vs-ige-1917
UFC Fight Night: Figueiredo vs. Benavidez 2,7/18/2020,https://www.bestfightodds.com/events/ufc-on-espn-30-figueiredo-vs-benavidez-2-1913
UFC Fight Night: Whittaker vs. Till,7/25/2020,https://www.bestfightodds.com/events/ufc-on-espn-14-whittaker-vs-till-1903
UFC Fight Night: Brunson vs. Shahbazyan,8/1/2020,https://www.bestfightodds.com/events/ufc-on-espn-31-brunson-vs-shahbazyan-1918
DWCS 4.1,8/4/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-27-1941
UFC Fight Night: Lewis vs. Oleinik,8/8/2020,https://www.bestfightodds.com/events/ufc-on-espn-32-lewis-vs-oleinik-1885
DWCS 4.2,8/11/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-28-1934
UFC 252: Miocic vs. Cormier 3,8/15/2020,https://www.bestfightodds.com/events/ufc-252-miocic-vs-cormier-3-1919
DWCS 4.3,8/18/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-29-1935
UFC Fight Night: Munhoz vs. Edgar,8/22/2020,https://www.bestfightodds.com/events/ufc-on-espn-15-munhoz-vs-edgar-1931
DWCS 4.4,8/25/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-30-1937
UFC Fight Night: Smith vs. Rakic,8/29/2020,https://www.bestfightodds.com/events/ufc-on-espn-33-smith-vs-rakic-1932
DWCS 4.5,9/1/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-31-1940
UFC Fight Night: Overeem vs. Sakai,9/5/2020,https://www.bestfightodds.com/events/ufc-on-espn-34-overeem-vs-sakai-1953
DWCS 4.6,9/8/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-32-1936
UFC Fight Night: Waterson vs. Hill,9/12/2020,https://www.bestfightodds.com/events/ufc-on-espn-35-waterson-vs-hill-1945
DWCS 4.7,9/15/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-33-1969
UFC Fight Night: Covington vs. Woodley,9/19/2020,https://www.bestfightodds.com/events/ufc-on-espn-36-covington-vs-woodley-1944
UFC 253: Adesanya vs. Costa,9/26/2020,https://www.bestfightodds.com/events/ufc-253-adesanya-vs-costa-1952
UFC Fight Night: Holm vs. Aldana,10/3/2020,https://www.bestfightodds.com/events/ufc-on-espn-16-holm-vs-aldana-1970
UFC Fight Night: Moraes vs. Sandhagen,10/10/2020,https://www.bestfightodds.com/events/ufc-on-espn-37-moraes-vs-sandhagen-1965
UFC Fight Night: Ortega vs. The Korean Zombie,10/17/2020,https://www.bestfightodds.com/events/ufc-on-espn-38-ortega-vs-the-korean-zombie-1971
UFC 254: Khabib vs. Gaethje,10/24/2020,https://www.bestfightodds.com/events/ufc-254-khabib-vs-gaethje-1958
UFC Fight Night: Hall vs. Silva,10/31/2020,https://www.bestfightodds.com/events/ufc-on-espn-39-hall-vs-silva-1973
DWCS 4.8,11/4/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-34-1968
UFC Fight Night: Santos vs. Teixeira,11/7/2020,https://www.bestfightodds.com/events/ufc-on-espn-40-santos-vs-teixeira-1974
DWCS 4.9,11/10/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-35-1951
UFC Fight Night: Felder vs. Dos Anjos,11/14/2020,https://www.bestfightodds.com/events/ufc-fight-night-182-felder-vs-dos-anjos-1981
DWCS 4.10,11/17/2020,https://www.bestfightodds.com/events/dana-white-s-contender-series-36-2012
UFC 255: Figueiredo vs. Perez,11/21/2020,https://www.bestfightodds.com/events/ufc-255-figueiredo-vs-perez-1967
UFC Fight Night: Smith vs. Clark,11/28/2020,https://www.bestfightodds.com/events/ufc-on-espn-18-smith-vs-clark-1979
UFC Fight Night: Hermansson vs. Vettori,12/5/2020,https://www.bestfightodds.com/events/ufc-on-espn-19-hermansson-vs-vettori-1982
UFC 256: Figueiredo vs. Moreno,12/12/2020,https://www.bestfightodds.com/events/ufc-256-figueiredo-vs-moreno-1983
UFC Fight Night: Thompson vs. Neal,12/19/2020,https://www.bestfightodds.com/events/ufc-fight-night-183-thompson-vs-neal-2000
UFC Fight Night: Holloway vs. Kattar,1/16/2021,https://www.bestfightodds.com/events/ufc-on-abc-1-holloway-vs-kattar-2009
UFC Fight Night: Chiesa vs. Magny,1/20/2021,https://www.bestfightodds.com/events/ufc-on-espn-20-chiesa-vs-magny-2044
UFC 257: Poirier vs. McGregor,1/23/2021,https://www.bestfightodds.com/events/ufc-257-poirier-vs-mcgregor-2-2016
UFC Fight Night: Overeem vs. Volkov,2/6/2021,https://www.bestfightodds.com/events/ufc-fight-night-184-overeem-vs-volkov-2029
UFC 258: Usman vs. Burns,2/13/2021,https://www.bestfightodds.com/events/ufc-258-usman-vs-burns-2033
UFC Fight Night: Blaydes vs. Lewis,2/20/2021,https://www.bestfightodds.com/events/ufc-fight-night-185-blaydes-vs-lewis-2035
UFC Fight Night: Rozenstruik vs. Gane,2/27/2021,https://www.bestfightodds.com/events/ufc-fight-night-186-rozenstruik-vs-gane-2039
UFC 259: Blachowicz vs. Adesanya,3/6/2021,https://www.bestfightodds.com/events/ufc-259-blachowicz-vs-adesanya-2038
UFC Fight Night: Edwards vs. Muhammad,3/13/2021,https://www.bestfightodds.com/events/ufc-fight-night-187-edwards-vs-muhammad-2048
UFC Fight Night: Brunson vs. Holland,3/20/2021,https://www.bestfightodds.com/events/ufc-on-espn-21-brunson-vs-holland-2053
UFC 260: Miocic vs. Ngannou,3/27/2021,https://www.bestfightodds.com/events/ufc-260-miocic-vs-ngannou-2-2055
UFC Fight Night: Vettori vs. Holland,4/10/2021,https://www.bestfightodds.com/events/ufc-on-abc-2-vettori-vs-holland-2061
UFC Fight Night: Whittaker vs. Gastelum,4/17/2021,https://www.bestfightodds.com/events/ufc-on-espn-22-whittaker-vs-gastelum-2062
UFC 261: Usman vs. Masvidal 2,4/24/2021,https://www.bestfightodds.com/events/ufc-261-usman-vs-masvidal-2-2087
UFC Fight Night: Reyes vs. Prochazka,5/1/2021,https://www.bestfightodds.com/events/ufc-on-espn-23-reyes-vs-prochazka-2074
UFC Fight Night: Rodriguez vs. Waterson,5/8/2021,https://www.bestfightodds.com/events/ufc-on-espn-24-rodriguez-vs-waterson-2075
UFC 262: Oliveira vs. Chandler,5/15/2021,https://www.bestfightodds.com/events/ufc-262-oliveira-vs-chandler-2086
UFC Fight Night: Font vs. Garbrandt,5/22/2021,https://www.bestfightodds.com/events/ufc-fight-night-188-font-vs-garbrandt-2085
UFC Fight Night: Rozenstruik vs. Sakai,6/5/2021,https://www.bestfightodds.com/events/ufc-fight-night-189-rozenstruik-vs-sakai-2108
UFC 263: Adesanya vs. Vettori 2,6/12/2021,https://www.bestfightodds.com/events/ufc-263-adesanya-vs-vettori-2-2115
UFC Fight Night: Jung vs. Ige,6/19/2021,https://www.bestfightodds.com/events/ufc-on-espn-the-korean-zombie-vs-ige-2130
UFC Fight Night: Gane vs. Volkov,6/26/2021,https://www.bestfightodds.com/events/ufc-fight-night-190-gane-vs-volkov-2109
UFC 264: Poirier vs. McGregor 3,7/10/2021,https://www.bestfightodds.com/events/ufc-264-poirier-vs-mcgregor-3-2127
UFC Fight Night: Makhachev vs. Moises,7/17/2021,https://www.bestfightodds.com/events/ufc-on-espn-makhachev-vs-moises-2139
UFC Fight Night: Sandhagen vs. Dillashaw,7/24/2021,https://www.bestfightodds.com/events/ufc-on-espn-sandhagen-vs-dillashaw-2137
UFC Fight Night: Hall vs. Strickland,7/31/2021,https://www.bestfightodds.com/events/ufc-on-espn-hall-vs-strickland-2165
UFC 265: Lewis vs. Gane,8/7/2021,https://www.bestfightodds.com/events/ufc-265-lewis-vs-gane-2142
UFC Fight Night: Cannonier vs. Gastelum,8/21/2021,https://www.bestfightodds.com/events/ufc-on-espn-cannonier-vs-gastelum-2166
UFC Fight Night: Barboza vs. Chikadze,8/28/2021,https://www.bestfightodds.com/events/ufc-on-espn-barboza-vs-chikadze-2251
DWCS 5.1,8/31/2021,https://www.bestfightodds.com/events/dwcs-week-1-2278
UFC Fight Night: Brunson vs. Till,9/4/2021,https://www.bestfightodds.com/events/ufc-fight-night-191-2213
DWCS 5.2,9/7/2021,https://www.bestfightodds.com/events/dwcs-week-2-2277
DWCS 5.3,9/14/2021,https://www.bestfightodds.com/events/dwcs-week-3-2295
UFC Fight Night: Smith vs. Spann,9/18/2021,https://www.bestfightodds.com/events/ufc-fight-night-smith-vs-spann-2171
DWCS 5.4,9/21/2021,https://www.bestfightodds.com/events/dwcs-week-4-2310
UFC 266: Volkanovski vs. Ortega,9/25/2021,https://www.bestfightodds.com/events/ufc-266-volkanovski-vs-ortega-2177
DWCS 5.5,9/28/2021,https://www.bestfightodds.com/events/dwcs-week-5-2321
UFC Fight Night: Santos vs. Walker,10/2/2021,https://www.bestfightodds.com/events/ufc-fight-night-santos-vs-walker-2167
DWCS 5.6,10/5/2021,https://www.bestfightodds.com/events/dwcs-week-6-2328
UFC Fight Night: Dern vs. Rodriguez,10/9/2021,https://www.bestfightodds.com/events/ufc-fight-night-dern-vs-rodriguez-2173
DWCS 5.7,10/12/2021,https://www.bestfightodds.com/events/dwcs-week-7-2333
UFC Fight Night: Ladd vs. Dumont,10/16/2021,https://www.bestfightodds.com/events/ufc-fight-night-ladd-vs-dumont-2178
DWCS 5.8,10/19/2021,https://www.bestfightodds.com/events/dana-white-s-contender-series-2342
UFC Fight Night: Costa vs. Vettori,10/23/2021,https://www.bestfightodds.com/events/ufc-fight-night-costa-vs-vettori-2203
DWCS 5.9,10/26/2021,https://www.bestfightodds.com/events/dwcs-week-9-2347
UFC 267: Blachowicz vs. Teixeira,10/30/2021,https://www.bestfightodds.com/events/ufc-267-brachowicz-vs-teixeira-2217
DWCS 5.10,11/2/2021,https://www.bestfightodds.com/events/dana-white-s-contender-series-2346
UFC 268: Usman vs. Covington 2,11/6/2021,https://www.bestfightodds.com/events/ufc-268-usman-vs-covington-2-2246
UFC Fight Night: Holloway vs. Rodriguez,11/13/2021,https://www.bestfightodds.com/events/ufc-fight-night-holloway-vs-rodriguez-2224
UFC Fight Night: Vieira vs. Tate,11/20/2021,https://www.bestfightodds.com/events/ufc-fight-night-vieira-vs-tate-2237
UFC Fight Night: Font vs. Aldo,12/4/2021,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-aldo-2259
UFC 269: Oliveira vs. Poirier,12/11/2021,https://www.bestfightodds.com/events/ufc-269-2279
UFC Fight Night: Lewis vs. Daukaus,12/18/2021,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-daukaus-2286
UFC Fight Night: Kattar vs. Chikadze,1/15/2022,https://www.bestfightodds.com/events/ufc-fight-night-201-2320
UFC 270: Ngannou vs. Gane,1/22/2022,https://www.bestfightodds.com/events/ufc-270-2322
UFC Fight Night: Hermansson vs. Strickland,2/5/2022,https://www.bestfightodds.com/events/ufc-vegas-47-2430
UFC 271: Adesanya vs. Whittaker 2,2/12/2022,https://www.bestfightodds.com/events/ufc-271-2338
UFC Fight Night: Walker vs. Hill,2/19/2022,https://www.bestfightodds.com/events/ufc-2413
UFC Fight Night: Makhachev vs. Green,2/26/2022,https://www.bestfightodds.com/events/ufc-fight-night-203-2343
UFC 272: Covington vs. Masvidal,3/5/2022,https://www.bestfightodds.com/events/ufc-fight-night-204-2380
UFC Fight Night: Santos vs. Ankalaev,3/12/2022,https://www.bestfightodds.com/events/ufc-2414
UFC Fight Night: Volkov vs. Aspinall,3/19/2022,https://www.bestfightodds.com/events/ufc-fight-night-205-2376
UFC Fight Night: Blaydes vs. Daukaus,3/26/2022,https://www.bestfightodds.com/events/ufc-fight-night-207-2391
UFC 273: Volkanovski vs. The Korean Zombie,4/9/2022,https://www.bestfightodds.com/events/ufc-273-2411
UFC Fight Night: Luque vs. Muhammad,4/16/2022,https://www.bestfightodds.com/events/ufc-fight-night-ufc-fight-night-206-2412
UFC Fight Night: Lemos vs. Andrade,4/23/2022,https://www.bestfightodds.com/events/ufc-fight-night-lemos-vs-andrade-2435
UFC Fight Night: Font vs. Vera,4/30/2022,https://www.bestfightodds.com/events/ufc-fight-night-font-vs-vera-2474
UFC 274: Oliveira vs. Gaethje,5/7/2022,https://www.bestfightodds.com/events/ufc-274-oliveira-vs-gaethje-2422
UFC Fight Night: Blachowicz vs. Rakic,5/14/2022,https://www.bestfightodds.com/events/ufc-fight-night-208-2418
UFC Fight Night: Holm vs. Vieira,5/21/2022,https://www.bestfightodds.com/events/ufc-fight-night-2010-2428
UFC Fight Night: Volkov vs. Rozenstruik,6/4/2022,https://www.bestfightodds.com/events/ufc-fight-night-211-2441
Road to UFC 1.1,6/9/2022,https://www.bestfightodds.com/events/road-to-ufc-2-2557
Road to UFC 1.2,6/9/2022,https://www.bestfightodds.com/events/road-to-ufc-2-2557
Road to UFC 1.3,6/10/2022,https://www.bestfightodds.com/events/road-to-ufc-4-2558
Road to UFC 1.4,6/10/2022,https://www.bestfightodds.com/events/road-to-ufc-4-2558
UFC 275: Teixeira vs. Prochazka,6/11/2022,https://www.bestfightodds.com/events/ufc-275-teixeira-vs-prochazka-2561
UFC Fight Night: Kattar vs. Emmett,6/18/2022,https://www.bestfightodds.com/events/ufc-fight-night-kattar-vs-emmett-2523
UFC Fight Night: Tsarukyan vs. Gamrot,6/25/2022,https://www.bestfightodds.com/events/ufc-on-espn-tsarukyan-vs-gamrot-2574
UFC 276: Adesanya vs. Cannonier,7/2/2022,https://www.bestfightodds.com/events/ufc-276-adesanya-vs-cannonier-2478
UFC Fight Night: Dos Anjos vs. Fiziev,7/9/2022,https://www.bestfightodds.com/events/ufc-on-espn-dos-anjos-vs-fiziev-2501
UFC Fight Night: Ortega vs. Rodriguez,7/16/2022,https://www.bestfightodds.com/events/ufc-on-abc-ortega-vs-rodriguez-2524
UFC Fight Night: Blaydes vs. Aspinall,7/23/2022,https://www.bestfightodds.com/events/ufc-fight-night-blaydes-vs-aspinall-2519
DWCS 6.1,7/26/2022,https://www.bestfightodds.com/events/dwcs-week-1-2591
UFC 277: Pena vs. Nunes 2,7/30/2022,https://www.bestfightodds.com/events/ufc-277-pena-vs-nunes-2-2517
DWCS 6.2,8/2/2022,https://www.bestfightodds.com/events/dwcs-week-2-2602
UFC Fight Night: Santos vs. Hill,8/6/2022,https://www.bestfightodds.com/events/ufc-on-espn-santos-vs-hill-2534
DWCS 6.3,8/9/2022,https://www.bestfightodds.com/events/dwcs-week-3-2609
UFC Fight Night: Vera vs. Cruz,8/13/2022,https://www.bestfightodds.com/events/ufc-fight-night-vera-vs-cruz-2552
DWCS 6.4,8/16/2022,https://www.bestfightodds.com/events/dwcs-week-4-2618
UFC 278: Usman vs. Edwards,8/20/2022,https://www.bestfightodds.com/events/ufc-278-usman-vs-edwards-2-2545
DWCS 6.5,8/23/2022,https://www.bestfightodds.com/events/dwcs-week-5-2623
DWCS 6.6,8/30/2022,https://www.bestfightodds.com/events/dwcs-week-6-2630
UFC Fight Night: Gane vs. Tuivasa,9/3/2022,https://www.bestfightodds.com/events/ufc-fight-night-gane-vs-tuivasa-2518
DWCS 6.7,9/6/2022,https://www.bestfightodds.com/events/dwcs-week-7-2638
UFC 279: Diaz vs. Ferguson,9/10/2022,https://www.bestfightodds.com/events/ufc-279-2541
DWCS 6.8,9/13/2022,https://www.bestfightodds.com/events/dwcs-week-8-2642
UFC Fight Night: Sandhagen vs. Song,9/17/2022,https://www.bestfightodds.com/events/ufc-fight-night-211-2569
DWCS 6.9,9/20/2022,https://www.bestfightodds.com/events/dwcs-week-9-2650
DWCS 6.10,9/27/2022,https://www.bestfightodds.com/events/dwcs-week-10-2658
UFC Fight Night: Dern vs. Yan,10/1/2022,https://www.bestfightodds.com/events/ufc-vegas-57-2489
UFC Fight Night: Grasso vs. Araujo,10/15/2022,https://www.bestfightodds.com/events/ufc-fight-night-212-2579
UFC 280: Oliveira vs. Makhachev,10/22/2022,https://www.bestfightodds.com/events/ufc-281-2586
Road to UFC 1.5,10/23/2022,https://www.bestfightodds.com/events/road-to-ufc-2681
Road to UFC 1.6,10/23/2022,https://www.bestfightodds.com/events/road-to-ufc-2681
UFC Fight Night: Kattar vs. Allen,10/29/2022,https://www.bestfightodds.com/events/ufc-fight-night-213-2606
UFC Fight Night: Rodriguez vs. Lemos,11/5/2022,https://www.bestfightodds.com/events/ufc-fight-night-214ting-championship-2612
UFC 281: Adesanya vs. Pereira,11/12/2022,https://www.bestfightodds.com/events/ufc-281-2529
UFC Fight Night: Nzechukwu vs. Cutelaba,11/19/2022,https://www.bestfightodds.com/events/ufc-fight-night-215-2633
UFC Fight Night: Thompson vs. Holland,12/3/2022,https://www.bestfightodds.com/events/ufc-fight-night-214-2607
UFC 282: Blachowicz vs. Ankalaev,12/10/2022,https://www.bestfightodds.com/events/ufc-282-2621
UFC Fight Night: Cannonier vs. Strickland,12/17/2022,https://www.bestfightodds.com/events/ufc-fight-night-217-2632
UFC Fight Night: Strickland vs. Imavov,1/14/2023,https://www.bestfightodds.com/events/ufc-fight-night-218-2666
UFC 283: Teixeira vs. Hill,1/21/2023,https://www.bestfightodds.com/events/ufc-283-2635
UFC Fight Night: Lewis vs. Spivac,2/4/2023,https://www.bestfightodds.com/events/ufc-fight-night-lewis-vs-spivak-2747
UFC 284: Makhachev vs. Volkanovski,2/11/2023,https://www.bestfightodds.com/events/ufc-284-makhachev-vs-volkanovski-2710
UFC Fight Night: Andrade vs. Blanchfield,2/18/2023,https://www.bestfightodds.com/events/ufc-fight-night-219-2700
UFC Fight Night: Muniz vs. Allen,2/25/2023,https://www.bestfightodds.com/events/ufc-fight-night-220-2709
UFC 285: Jones vs. Gane,3/4/2023,https://www.bestfightodds.com/events/ufc-285-2738
UFC Fight Night: Yan vs. Dvalishvili,3/11/2023,https://www.bestfightodds.com/events/ufc-fight-night-221-2719
